Player,Team,Pos,Injury,Status,Est. Return
Brandon Facyson,IND,CB,Illness,Questionable,Subscribers Only
George Fant,NYJ,OT,Knee,Questionable,Subscribers Only
Caleb Farley,TEN,CB,Back,IR,Subscribers Only
Matt Farniok,DAL,C,Hamstring,IR,Subscribers Only
Simi Fehoko,DAL,WR,Shoulder,IR,Subscribers Only
Jake Ferguson,DAL,TE,Head,Questionable,Subscribers Only
Justin Fields,CHI,QB,Illness,Questionable,Subscribers Only
Sharif Finch,FA,LB,Undisclosed,Questionable,Subscribers Only
B.J. Finney,FA,OG,Back,Questionable,Subscribers Only
John FitzPatrick,ATL,TE,Undisclosed,IR,Subscribers Only
Trey Flowers,MIA,LB,Foot,IR,Subscribers Only
Dee Ford,FA,DE,Back,Questionable,Subscribers Only
L.J. Fort,FA,LB,Knee - ACL,Questionable,Subscribers Only
Mitchell Fraboni,DEN,C,Finger,IR,Subscribers Only
John Franklin,FA,WR,Knee - ACL,Questionable,Subscribers Only
John Franklin-Myers,NYJ,DE,Illness,Questionable,Subscribers Only
Jordan Franks,FA,TE,Hand,Out,Subscribers Only
Pat Freiermuth,PIT,TE,Foot,Questionable,Subscribers Only
Jordan Fuller,LAR,S,Hamstring,IR,Subscribers Only
Kyle Fuller,BAL,CB,Knee - ACL,IR,Subscribers Only
Will Fuller,FA,WR,Finger,Questionable,Subscribers Only
Kristian Fulton,TEN,CB,Groin,Questionable,Subscribers Only
Tipa Galeai,GB,LB,Hamstring,IR,Subscribers Only
Jamell Garcia-Williams,FA,DE,Undisclosed,Questionable,Subscribers Only
C.J. Gardner-Johnson,PHI,S,Abdomen,IR,Subscribers Only
Ben Garland,FA,C,Calf,Questionable,Subscribers Only
Jimmy Garoppolo,SF,QB,Foot,Out,Subscribers Only
Myles Garrett,CLE,DE,Shoulder,Questionable,Subscribers Only
Rashan Gary,GB,LB,Knee - ACL,IR,Subscribers Only
Antonio Gibson,WAS,RB,Foot,Questionable,Subscribers Only
Cam Gill,TB,LB,Foot,IR,Subscribers Only
Cullen Gillaspia,SEA,LB,Knee,IR,Subscribers Only
Reggie Gilliam,BUF,FB,Ankle,Questionable,Subscribers Only
Kevin Givens,SF,DT,Knee - MCL,Out,Subscribers Only
Jordan Glasgow,FA,LB,Undisclosed,Questionable,Subscribers Only
Dallas Goedert,PHI,TE,Shoulder,IR-R,Subscribers Only
Matt Gono,FA,OT,Neck,Questionable,Subscribers Only
Zane Gonzalez,CAR,K,Groin,IR,Subscribers Only
Jaeden Graham,FA,TE,Undisclosed,Questionable,Subscribers Only
Ta'Quon Graham,ATL,DE,Knee - MCL,IR,Subscribers Only
Jakeem Grant,CLE,WR,Achilles,IR,Subscribers Only
J.T. Gray,NO,S,Hamstring,Questionable,Subscribers Only
Kenyon Green,HOU,OG,Ankle,Questionable,Subscribers Only
Virgil Green,FA,TE,Ankle,Questionable,Subscribers Only
Jonathan Greenard,HOU,DE,Calf,IR-R,Subscribers Only
Raven Greene,FA,S,Undisclosed,Questionable,Subscribers Only
Ethan Greenidge,NO,OT,Knee,IR,Subscribers Only
Randy Gregory,DEN,LB,Knee - Meniscus,IR-R,Subscribers Only
Everson Griffen,FA,DE,Personal,Questionable,Subscribers Only
Shaquill Griffin,JAX,CB,Back,IR,Subscribers Only
Jonas Griffith,DEN,LB,Ankle,IR,Subscribers Only
Trevon Grimes,FA,WR,Undisclosed,Questionable,Subscribers Only
Ryan Groy,FA,OG,Triceps,Questionable,Subscribers Only
Vitaliy Gurman,FA,OG,Undisclosed,Out,Subscribers Only
Porter Gustin,FA,LB,Undisclosed,Out,Subscribers Only
Jalen Guyton,LAC,WR,Knee - ACL,IR,Subscribers Only
Joe Haeg,CLE,OT,Concussion,IR,Subscribers Only
Troy Hairston,HOU,FB,Chest,Questionable,Subscribers Only
Grant Haley,LAR,CB,Knee - ACL,IR,Subscribers Only
Breece Hall,NYJ,RB,Knee - ACL,IR,Subscribers Only
Emanuel Hall,FA,WR,Achilles,Questionable,Subscribers Only
KJ Hamler,DEN,WR,Hamstring,IR,Subscribers Only
Saquan Hampton,FA,S,Achilles,Questionable,Subscribers Only
Da'Shawn Hand,TEN,DT,Quadriceps,IR,Subscribers Only
Johnathan Hankins,DAL,DT,Pectoral,IR,Subscribers Only
Chase Hansen,NO,LB,Knee,IR,Subscribers Only
Jake Hanson,GB,C,Biceps,IR,Subscribers Only
Tre Harbison,FA,RB,Concussion,Questionable,Subscribers Only
Mecole Hardman,KC,WR,Abdomen,IR-R,Subscribers Only
Devin Harper,DAL,LB,Achilles,IR,Subscribers Only
Charles Harris,DET,DE,Groin,IR,Subscribers Only
Clark Harris,CIN,C,Biceps,IR,Subscribers Only
Damien Harris,NE,RB,Thigh,Questionable,Subscribers Only
Dwayne Harris,FA,WR,Triceps,Questionable,Subscribers Only
Jacob Harris,LAR,WR,Pectoral,IR,Subscribers Only
Marcell Harris,FA,LB,Ankle,Out,Subscribers Only
Najee Harris,PIT,RB,Hip,Questionable,Subscribers Only
Nick Harris,CLE,C,Knee,IR,Subscribers Only
Trent Harris,FA,LB,Undisclosed,Questionable,Subscribers Only
Will Harris,DET,CB,Hip,Questionable,Subscribers Only
Montre Hartage,FA,S,Undisclosed,Questionable,Subscribers Only
Deonte Harty,NO,WR,Foot,IR,Subscribers Only
Kolby Harvell-Peel,FA,S,Hamstring,Questionable,Subscribers Only
Hassan Haskins,TEN,RB,Hip,Questionable,Subscribers Only
Jerald Hawkins,FA,OT,Undisclosed,Questionable,Subscribers Only
Daelin Hayes,BAL,LB,Undisclosed,IR,Subscribers Only
Marquis Hayes,ARI,OG,Knee,IR,Subscribers Only
Casey Hayward,ATL,CB,Shoulder,IR,Subscribers Only
Joel Heath,FA,DE,Knee - ACL,Questionable,Subscribers Only
Nolan Henderson,FA,QB,Lower Leg,Questionable,Subscribers Only
Trey Hendrickson,CIN,DE,Wrist,Questionable,Subscribers Only
Matt Hennessy,ATL,OG,Knee,IR-R,Subscribers Only
Thomas Hennigan,MIN,WR,Undisclosed,IR,Subscribers Only
Khalil Herbert,CHI,RB,Hip,IR,Subscribers Only
Will Hernandez,ARI,OG,Chest,IR-R,Subscribers Only
Chandon Herring,FA,OG,Undisclosed,Questionable,Subscribers Only
Frank Herron,FA,DE,Undisclosed,Questionable,Subscribers Only
Justin Herron,LV,OT,Knee,IR,Subscribers Only
Jordan Hicks,MIN,LB,Ankle,Questionable,Subscribers Only
Tee Higgins,CIN,WR,Hamstring,Questionable,Subscribers Only
Dax Hill,CIN,S,Hamstring,Questionable,Subscribers Only
Tyreek Hill,MIA,WR,Ankle,Questionable,Subscribers Only
Dontrell Hilliard,TEN,RB,Neck,Out,Subscribers Only
Mike Hilton,CIN,CB,Knee,Questionable,Subscribers Only
Chasen Hines,NE,OG,Undisclosed,IR,Subscribers Only
Kurt Hinish,HOU,DT,Shoulder,Questionable,Subscribers Only
Kendall Hinton,DEN,WR,Hamstring,Questionable,Subscribers Only
Curtis Hodges,WAS,TE,Thigh,IR,Subscribers Only
Cole Holcomb,WAS,LB,Foot,IR,Subscribers Only
Will Holden,FA,OT,Calf,Questionable,Subscribers Only
Cody Hollister,TEN,WR,Neck,IR,Subscribers Only
Elijah Holyfield,CIN,RB,Knee,IR,Subscribers Only
Amani Hooker,TEN,S,Knee,Questionable,Subscribers Only
Dustin Hopkins,LAC,K,Hamstring,IR,Subscribers Only
Jesper Horsted,LV,TE,Concussion,Questionable,Subscribers Only
Bug Howard,FA,TE,Undisclosed,Questionable,Subscribers Only
Travin Howard,LAR,LB,Hip,Questionable,Subscribers Only
Brian Hoyer,NE,QB,Concussion,IR,Subscribers Only
Jonathan Hubbard,FA,OT,Undisclosed,Questionable,Subscribers Only
Rodney Hudson,ARI,C,Knee,IR,Subscribers Only
Tommy Hudson,FA,TE,Undisclosed,Questionable,Subscribers Only
Albert Huggins,NO,DT,Undisclosed,IR,Subscribers Only
Jake Hummel,LAR,LB,Hip,IR,Subscribers Only
D.J. Humphries,ARI,OT,Back,IR,Subscribers Only
Tyler Huntley,BAL,QB,Concussion,Questionable,Subscribers Only
Jalen Hurd,FA,WR,Knee,Questionable,Subscribers Only
Allen Hurns,FA,WR,Wrist,Questionable,Subscribers Only
Hayden Hurst,CIN,TE,Calf,Doubtful,Subscribers Only
John Hurst,FA,WR,Ankle,Questionable,Subscribers Only
Maurice Hurst,SF,DT,Biceps,IR,Subscribers Only
Carlos Hyde,FA,RB,Concussion,Questionable,Subscribers Only
Micah Hyde,BUF,S,Neck,IR,Subscribers Only
Kerry Hyder,SF,DE,Ankle,Questionable,Subscribers Only
Ishmael Hyman,FA,WR,Undisclosed,Questionable,Subscribers Only
George Iloka,FA,S,Knee - ACL,Questionable,Subscribers Only
Mark Ingram,NO,RB,Knee - MCL,Out,Subscribers Only
Isaiah Irving,FA,LB,Back,Questionable,Subscribers Only
Thomas Ives,FA,WR,Undisclosed,Questionable,Subscribers Only
Joel Iyiegbuniwe,CAR,LB,Shoulder,Questionable,Subscribers Only
Myles Jack,PIT,LB,Groin,Questionable,Subscribers Only
Adoree' Jackson,NYG,CB,Knee - MCL,Questionable,Subscribers Only
Alaric Jackson,LAR,OT,Illness,IR,Subscribers Only
Austin Jackson,MIA,OT,Ankle,IR,Subscribers Only
Branden Jackson,FA,DE,Spine,Questionable,Subscribers Only
Chris Jackson,TEN,CB,Undisclosed,IR,Subscribers Only
D'Marco Jackson,NO,LB,Undisclosed,IR,Subscribers Only
Donte Jackson,CAR,CB,Achilles,IR,Subscribers Only
Eddie Jackson,CHI,S,Foot,IR,Subscribers Only
J.C. Jackson,LAC,CB,Kneecap,IR,Subscribers Only
Lamar Jackson,BAL,QB,Knee - PCL,Questionable,Subscribers Only
Warren Jackson,FA,WR,Undisclosed,Questionable,Subscribers Only
William Jackson,PIT,CB,Back,IR,Subscribers Only
Josh Jacobs,LV,RB,Finger,Questionable,Subscribers Only
Derwin James,LAC,S,Quadriceps,Questionable,Subscribers Only
Ja'Wuan James,BAL,OT,Achilles,IR,Subscribers Only
Jesse James,CLE,TE,Biceps,IR,Subscribers Only
Richie James,NYG,WR,Concussion,Questionable,Subscribers Only
Kevin Jarvis,FA,OG,Undisclosed,Questionable,Subscribers Only
Blake Jarwin,FA,TE,Hip,Questionable,Subscribers Only
Jalen Jelks,FA,DE,Undisclosed,Questionable,Subscribers Only
Jordan Jenkins,LV,DE,Knee - ACL,IR,Subscribers Only
Gary Jennings,FA,WR,Concussion,Questionable,Subscribers Only
Ryan Jensen,TB,C,Knee,IR,Subscribers Only
Austin Johnson,LAC,DT,Knee - MCL,IR,Subscribers Only
Bisi Johnson,MIN,WR,Knee - ACL,IR,Subscribers Only
Collin Johnson,NYG,WR,Achilles,IR,Subscribers Only
Darryl Johnson,SEA,LB,Foot,IR,Subscribers Only
Dontae Johnson,FA,CB,Knee - ACL,Out,Subscribers Only
Jahmir Johnson,FA,OT,Undisclosed,Questionable,Subscribers Only
John Johnson,CLE,S,Knee,Questionable,Subscribers Only
Josh Johnson,FA,RB,Undisclosed,Questionable,Subscribers Only
Juwan Johnson,NO,TE,Ankle,Questionable,Subscribers Only
Lane Johnson,PHI,OT,Abdomen,Questionable,Subscribers Only
Lonnie Johnson,TEN,CB,Hamstring,IR,Subscribers Only
Nazeeh Johnson,KC,S,Hamstring,Questionable,Subscribers Only
Willie Johnson,JAX,WR,Undisclosed,IR,Subscribers Only
Clay Johnston,CIN,LB,Head,Questionable,Subscribers Only
Ben Jones,TEN,C,Neck,Questionable,Subscribers Only
Brandon Jones,MIA,S,Knee - ACL,IR,Subscribers Only
Brett Jones,FA,C,Biceps,Questionable,Subscribers Only
Byron Jones,MIA,CB,Achilles,PUP-R,Subscribers Only
Caleb Jones,GB,OT,Illness,NFI-R,Subscribers Only
Chris Jones,FA,P,Abdomen,Questionable,Subscribers Only
Devin Jones,FA,CB,Undisclosed,Questionable,Subscribers Only
Jack Jones,NE,CB,Knee,Questionable,Subscribers Only
Jamarco Jones,TEN,OT,Elbow,IR,Subscribers Only
Josh Jones,SEA,S,Hamstring,IR,Subscribers Only
Julio Jones,TB,WR,Knee,Questionable,Subscribers Only
Xavier Jones,FA,RB,Achilles,Questionable,Subscribers Only
Cameron Jordan,NO,DE,Foot,Questionable,Subscribers Only
Dion Jordan,FA,DE,Knee,Questionable,Subscribers Only
Karl Joseph,PIT,S,Ankle,IR,Subscribers Only
Michael Joseph,FA,CB,Undisclosed,Questionable,Subscribers Only
Sebastian Joseph-Day,LAC,DT,Knee - MCL,Questionable,Subscribers Only
Matt Kaskey,FA,OT,Foot,Questionable,Subscribers Only
Silas Kelly,FA,LB,Undisclosed,Questionable,Subscribers Only
Brandon King,FA,LB,Hamstring,Questionable,Subscribers Only
Javon Kinlaw,SF,DT,Knee,IR,Subscribers Only
Dre Kirkpatrick,FA,CB,Ankle,Questionable,Subscribers Only
Micah Kiser,LV,LB,Leg,IR,Subscribers Only
Kader Kohou,MIA,CB,Thumb,Questionable,Subscribers Only
J.J. Koski,LAR,WR,Shoulder,IR,Subscribers Only
Tommy Kraemer,DET,OG,Back,IR,Subscribers Only
Doug Kramer,CHI,C,Lower Leg,IR,Subscribers Only
Jake Kumerow,BUF,WR,Ankle,IR,Subscribers Only
Cooper Kupp,LAR,WR,Ankle,IR,Subscribers Only
Bruno Labelle,FA,TE,Undisclosed,Questionable,Subscribers Only
Dayan Lake,FA,CB,Undisclosed,Questionable,Subscribers Only
Forrest Lamp,FA,OG,Undisclosed,Questionable,Subscribers Only
Tyler Lancaster,FA,DE,Undisclosed,Questionable,Subscribers Only
Trey Lance,SF,QB,Ankle,IR,Subscribers Only
Harold Landry,TEN,LB,Knee - ACL,IR,Subscribers Only
Ted Larsen,FA,OG,Knee,Questionable,Subscribers Only
Tyler Larsen,WAS,C,Kneecap,IR,Subscribers Only
Cody Latimer,FA,WR,Personal,Reserve-CEL,Subscribers Only
Marshon Lattimore,NO,CB,Abdomen,Questionable,Subscribers Only
Nolan Laufenberg,FA,OG,Undisclosed,Out,Subscribers Only
Rashard Lawrence,ARI,DT,Shoulder,IR,Subscribers Only
Trevor Lawrence,JAX,QB,Toe,Questionable,Subscribers Only
Cre'von LeBlanc,FA,CB,Undisclosed,Questionable,Subscribers Only
Darron Lee,FA,LB,Undisclosed,Questionable,Subscribers Only
Shane Lemieux,NYG,OG,Toe,Questionable,Subscribers Only
Lance Lenoir,FA,WR,Undisclosed,Questionable,Subscribers Only
Shaquille Leonard,IND,LB,Back,IR,Subscribers Only
Taylor Lewan,TEN,OT,Knee,IR,Subscribers Only
Donnie Lewis,FA,CB,Undisclosed,Questionable,Subscribers Only
Jourdan Lewis,DAL,CB,Foot,IR,Subscribers Only
Terrell Lewis,LAR,LB,Back,Questionable,Subscribers Only
Tommylee Lewis,FA,WR,Hip,Questionable,Subscribers Only
Tyquan Lewis,IND,DE,Knee,IR,Subscribers Only
Zane Lewis,FA,S,Undisclosed,Questionable,Subscribers Only
Alec Lindstrom,FA,C,Undisclosed,Out,Subscribers Only
Cory Littleton,CAR,LB,Ankle,Questionable,Subscribers Only
Damon Lloyd,LAC,LB,Undisclosed,IR,Subscribers Only
